mpg,car_name
14,"chevrolet impala"
14,"plymouth fury iii"
14,"pontiac catalina"
14,"plymouth 'cuda 340"
14,"buick estate wagon (sw)"
10,"ford f250"
10,"chevy c20"
11,"dodge d200"
14,"chevrolet impala"
14,"pontiac catalina brougham"
14,"ford galaxie 500"
14,"plymouth fury iii"
12,"dodge monaco (sw)"
13,"ford country squire (sw)"
13,"pontiac safari (sw)"
13,"chevrolet impala"
14,"pontiac catalina"
14,"ford galaxie 500"
11,"mercury marquis"
13,"buick lesabre custom"
12,"oldsmobile delta 88 royale"
13,"chrysler newport royal"
13,"chevrolet chevelle concours (sw)"
13,"ford gran torino (sw)"
14,"plymouth satellite custom (sw)"
13,"buick century 350"
14,"amc matador"
13,"chevrolet malibu"
14,"ford gran torino"
12,"mercury marquis brougham"
13,"chevrolet caprice classic"
13,"ford ltd"
14,"plymouth fury gran sedan"
13,"chrysler new yorker brougham"
12,"buick electra 225 custom"
13,"amc ambassador brougham"
11,"chevrolet impala"
12,"ford country"
13,"plymouth custom suburb"
12,"oldsmobile vista cruiser"
11,"oldsmobile omega"
13,"buick century luxus (sw)"
14,"dodge coronet custom (sw)"
14,"ford gran torino (sw)"
14,"amc matador (sw)"
14,"ford ltd"
13,"ford mustang ii"
14.5,"ford gran torino"
13,"plymouth volare premier v8"
13,"chevy c10"
13,"ford f108"
13,"dodge d100"
